Kulung Words,Grammatical Meaning
kʰeba,dog-ERG
so,also
kʰǝijake,bite-1p.NPT-ASS
məiamnod̪o,do-1p→3.NPT-NEG.NPT-CND
kulutʃʰa,Kulung
ŋeiʔa,obstacle-ERG
so,also
t̪ʰəijake,bring-1p.NPT-ASS
busumbaitʃa,heir-ns-ERG
kulutʃʰa,Kulung
kei,we(pi)
soŋ,also-EMP
tʃʰet̪inu,know-1p.PT-OPT
ninamma,Ninam-ERG
lo,and
kulutʃʰa,Kulung
tʃara,land-ERG
lo,and
ket̪inu,protect-1p.PT-OPT
huktʃi,wind-ns
kela,blow-PT
kulutʃʰa,Kulung
siŋtʃʰa,branch
so,also
ət̪ake,be.broken-PT-ASS
hənnakəkə,now-TOP-TOP
kulutʃʰa,Kulung
okʰitʃʰam,ourpe-song
mət̪ake,be.finished-PT-ASS
rid̪um,rite
keia,we(pi)-ERG
masamno,lose-1p→3.NPT-NEG.NPT
hənna,now
keia,wepi-ERG
lamamke,search-1p→3.NPT-ASS
u,what
soŋ,also-EMP
keia,wepi-ERG
tʃʰet̪amno,known-1p-3.NPT-NEG.NPT
рʰәра,grandfather
t̪ət̪amke,ask-1p→3.NPT-ASS
ipʰəpatʃi,our(pi)-grandfather-ns
mdʒulakʰa,their-fibre.field
ʋasemkʰa,fern.field
kut̪tʃəʔa,hoe-INS
d̪əiamke,dig-1p→3.NPT-ASS
hənna,now
keia,wepi-ERG
iriŋmi,ourpi-talk-GEN
samapt̪a,end
məiamke,make-1p-3.NPT-ASS
ketʃʰe,long.time.ago
kei,wepi
kʰo:loŋai,all-EMP-EMO
pu,snake
boro,frog
t̪oŋkə,like-TOP
t̪u:ikə,be-1p.PT-SUB
keia,wepi-ERG
baŋra,sack.cloth
kʰapsumna,wear-1p-3.PT-PFG
so:mtʃʰa,human.being
tʃʰu:ikə,be-1p.PT-SUB
it̪elpi,our(pi)-village-LOC
mimtʃʰaʔa,girl-ERG
sakʰi,thread
t̪ʰut̪t̪a,pull-3P.NPT
siŋpika,wood-LOC-ABL
ese,today
keia,wepi-ERG
tʃʰam,song
məiam,make-1p-3.NPT
ikuluriŋpika,ourpi-Kulung.language-LOC-ABL
buʔa,elder.brother-VOC
naʔa,elder.sister-VOC
irid̪um,our(pi)-rite
məiamke,do-1p→3.NPT-ASS
irid̪um,our(pi)-rite
mamməmo,NEG.PT-do-PRG
buʔa,elder.brother-VOC
naʔa,elder.sister-VOC
ŋeiʔa,obstacle-ERG
t̪ʰaijake,bring-1p.NPT-ASS
tʃʰemsi,Chemsi
lo,and
t̪amsi,Tämsi
lo,and
ipʰaptʃa,our(pi)-grandfather-ns-ERG
bei,arrow
lipʰu,bow
ʋestʃit̪ʰe,strap.on-3ns-REP
kʰikkana,thereafter
ipʰəptʃa,ourPi-grandfather-ns-ERG
kʰo:loʔa,all-ERG
irid̪um,ourpi-rite
lestʃit̪ʰe,know-3ns-REP
buʔa,elder.brother-VOC
naʔa,elder.sister-VOC
irid̪um,ourpi-rite
məiamke,do-1p-3.NPT-ASS
irid̪um,ourpi-rite
mamməmo,NEG.PT-do-PRG
buʔa,elder.brother-VOC
naʔa,elder.sister-VOC
ŋeila,obstacle-ERG
t̪ʰəijake,bring-1p.NPT-ASS
ipʰaptʃi,ourpi-grandfather-ns
iməmtʃi,ourPi-grandmother-ns
irid̪um,ourpi-rite
t̪ət̪amke,ask-1p-3.NPT-ASS
irid̪um,our(pi)-rite
mət̪o,do-PRG
kʰaiam,take-1p-3.NPT
kʰo:loʔa,all-ERG
ihu,our(pi)-hand
sət̪amke,stretch-1p-3.NPT-ASS
buʔa,elder.brother-VOC
naʔa,elder.sister-VOC
irid̪um,our(pi)-rite
məiamke,do-1p-3.NPT-ASS
irid̪um,ourpi-rite
mamməmo,NEG.PT-do-PRG
buʔa,elder.brother-VOC
naʔa,elder.sister-VOC
ŋeila,obstacle-ERG
t̪haijake,bring-1p.NPT-ASS
o:ninka,my-name-TOP
bud̪d̪hi,Buddhi
bahad̪ur,Bahadur
kulutʃʰa,Kulung
o:po:sko,my-birthplace
tʃʰapsko,place.of.registration
tʃʰeskamke,Cheskām-ASS
irid̪um,our(pi)-rite
ʋat̪am,slow
papa,grandfather
t̪ət̪am,ask-1p-3.NPT
kʰo:loʔa,all-ERG
lesamke,know-1p-3.NPT-ASS
buʔa,elder.brother-VOC
naʔa,elder.sister-VOC
irid̪um,ourpi-rite
məiamke,do-1p-3.NPT-ASS
irid̪um,ourpi-rite
mamməmo,NEG.PT-do-PRG
buʔa,elder.brother-VOC
naʔa,elder.sister-VOC
ŋeiʔa,obstacle-ERG
t̪ʰəijake,bring-1p.NPT-ASS
d̪eppikane,big-LOC-ABL-CTR
tʃi:matʃʰa,small-DIM
sat̪ake,decrease-PT-ASS
tʃʰam,song
laikakə,sing-1p.NPT
jenanum,hear-PT-2p-3
hənna,now
mət̪ake,be.finished-PT-ASS
buʔa,elder.brother-VOC
naʔa,elder
irid̪um,sister-VOC
məiamke,ourpi-rite
irid̪um,do-1p-3.NPT-ASS
mamməmo,ourpi-rite
buʔa,NEG.PT-do-PRG
naʔa,elder.brother-VOC
ŋeila,elder.sister-VOC
t̪ʰəijake,obstacle-ERG
tʃʰemsimi,bring-1p.NPT-ASS
tʃʰola,Chemsiń-GEN
mamerku,peak-MED
d̪at̪ake,Māmerku
it̪oŋt̪o,be.seen-PT-ASS
bə:nam,ourpi-head-LOC
ikaŋka,headstrap
huʋa,ourpi-tooth-ABL
saraŋai,sweat
pat̪ake,very-EMP-EMO
makaitʃi,drip-PT-ASS
let̪am,maize-ns
bəisakpi,plant-1p-3.NPT
səiamke,Vaiśākh-LOC
it̪elpi,weed-1p→3.NPT-ASS
keia,ourPi-village-LOC
d̪umo,wepi-ERG
lo,much
d̪umo,and
d̪ukʋa,much
so,misery
t̪əiamke,also
huktʃi,get-1p-3.NPT-ASS
so,wind-ns
kela,also
sintʃha,blow-PT
so,branch
ət̪ake,also
it̪elpi,be.broken-PT-ASS
imi,ourpi-village-LOC
d̪umo,ourpi-GEN
lo,much
d̪umo,and
singas,much
so,fodder
mət̪ake,also
raksi,be.finished-PT-ASS
so,raksi
ŋi:am,also
kʰo:loʔa,cook-1p-3.NPT
t̪ʰet̪amke,all-ERG
itʃʰatʃi,lift-1p-3.NPT-ASS
mla:gi,ourpi-child-ns
itʃastʃi,their-for
mla:gi,ourPi-grandchild-ns
si:tʃʰo,their-for
so,tree
let̪amke,also
koŋ,plant-1p-3.NPT-ASS
tʃi:ma,I
t̪u:olo,small
o:pa,be-1s.PT-COM
si:a,my-father
kʰat̪a,die-PT
d̪ep,go-PT
tʃʰu:olo,big
o:bu,become-1s.PT-COM
lahur,my-elder.brother
khat̪a,army
o:tʃʰa,go-PT
t̪aie,my-child
pikt̪o,come-nls
saraŋ,say-PRG
o:ma,very-EMP
kʰapa,my-mother
sakʰi,weep-PT
t̪ut̪am,thread
tʃi:matʃʰaka,spin-1p-3.NPT
siŋpika,small-DIM-TOP
hənna,wood-LOC-ABL
kei,now
tʃʰamtʃi,wepi
ləija,song-ns
ikuluŋkə,sing-1p.NPT
riŋpika,ourP¹-Kulung-TOP
so:go,language-LOC-ABL
so,jungle
kʰat̪ja,also
kʰo:loŋai,go-1p.NPT
lam,all-EMP-EMO
ləija,search
hənnakə,feel-1p.NPT
kei,now-TOP
iriŋkə,wepi
tʃʰam,ourpi-language-ABL
lǝija,song
mo:bo,sing-1p.NPT
so,Mo:bo
məiam,also
ʋa:tʃʰa,do-1p-3.NPT
lo,chick
bo:,and
lo,pig
nu,and
kʰo:loŋai,OPT
t̪upi,all-EMP-EMO
buʔa,meet-1p.PT
olonu,elder
samkʰe,brother-VOC
so,welcome
ŋi:am,potato
barapka,also
d̪u:noke,cook-1p-3.NPT
it̪elpi,cooking.pan-ABL
imi,cook-NEG.NPT-ASS
so:go,ourpi-village-LOC
so,ourPi-GEN
mand̪i,forest
so:mtʃʰakə,also
tʃʰu:noke,without
samkʰe,human.being-TOP
so,be-NEG.NPT-ASS
let̪am,potato
asarpi,also
bəlamke,plant-1p-3.NPT
molmikə,Āṣaḍh-LOC
lagi,dig.up-1p-3.NPT-ASS
si:boloŋ,fertiliser-GEN-TOP
kəlamke,for
tʃʰuppu,leaf-COM-EMP
makaiser,push-1p-3.NPT-ASS
t̪esam,cooking.pot-LOC
kʰikka,ground.maize
makaiser,pour.in-1p-3.NPT
t̪esamna,then
d̪ure,ground.maize
dʒidʒis,pour.in-1p-3.NPT-PFG
ba:m,cook-nls
t̪esm,a.little
tʃhu:e,buckwheat
kʰikkan,put.in-INF
lin,then-CTR
t̪esam,yeast
liŋ,pour.in-1p-3.NPT
t̪esamnan,yeast
ba:pu,pour.in-1p-3.NPT-PFG-CTR
sumamna,bamboo.basket-LOC
kʰikkana,ferment-1p-3.NPT
bərpu,thereafter
sumamna,bamboo.basket-LOC
baia,be.fermented-3P.NPT
kʰikkana,thereafter
lippu,jug-LOC
liŋam,pour.in-1p-3.NPT
lippu,jug-LOC
linamna,pour.into-1p→→→3.NPT
nurma,unfiltered.beer
d̪uŋam,drink-1p-3.NPT
kʰikkana,thereafter
nurma,unfiltered.beer
d̪uŋum,drink-1p-3.NPT
kʰi:amka,1p-3.NPT-SUB
msipne,its-husk-CTR
raksi,raksi
ŋi:am,cook-1p-3.NPT
